[[20134393, [1, -4, -4, 10, 4, -6, -1, 1]],
 [25164057, [1, -2, -10, 7, 9, -5, -2, 1]],
 [25367689, [1, -3, -4, 9, 4, -6, -1, 1]],
 [28118369, [1, -3, -9, 7, 9, -5, -2, 1]],
 [30653489, [-1, -3, 3, 11, -1, -7, 0, 1]],
 [31056073, [1, 0, -9, 1, 11, -3, -3, 1]],
 [32354821, [1, -1, -8, 6, 9, -5, -2, 1]],
 [32567681, [-1, -3, 3, 10, -2, -7, 0, 1]],
 [34554953, [1, 0, -8, 5, 9, -5, -2, 1]],
 [35269513, [1, -1, -10, 5, 10, -5, -2, 1]],
 [39610073, [1, -3, -3, 10, 3, -7, -1, 1]],
 [39829313, [-1, -6, -5, 13, 5, -7, -1, 1]],
 [41153941, [1, -7, -6, 13, 5, -7, -1, 1]],
 [41455873, [-5, -12, 5, 19, -1, -8, 0, 1]],
 [41783473, [-1, -4, 4, 13, -1, -7, 0, 1]],
 [42855577, [-1, -4, 2, 14, 3, -7, -1, 1]],
 [43242544, [-1, -8, -2, 15, 4, -7, -1, 1]],
 [43723857, [3, -6, -10, 12, 7, -7, -1, 1]],
 [46643776, [-1, -5, -1, 13, 3, -7, -1, 1]],
 [49960857, [-1, -5, 0, 13, 0, -7, 0, 1]],
 [52011969, [1, 4, -13, -1, 13, -3, -3, 1]],
 [55073801, [1, -3, -6, 8, 8, -6, -2, 1]],
 [55078981, [-1, -5, 0, 12, 2, -7, -1, 1]],
 [55311169, [1, -2, -11, 10, 8, -7, -1, 1]],
 [57936017, [1, -3, -5, 11, 6, -7, -1, 1]],
 [58355513, [1, -1, -7, 5, 9, -5, -2, 1]],
 [61136809, [-1, -3, 5, 12, -2, -7, 0, 1]],
 [63128113, [1, -1, -7, 6, 8, -5, -2, 1]],
 [65698681, [1, -4, -1, 12, 1, -8, -1, 1]],
 [65845693, [-1, -4, 3, 11, -2, -7, 0, 1]],
 [67159593, [1, 0, -10, 2, 11, -3, -3, 1]],
 [68249369, [-1, -4, 1, 12, 2, -7, -1, 1]],
 [69012929, [-1, -6, -6, 11, 8, -6, -2, 1]],
 [69678137, [1, 1, -9, -2, 13, -3, -3, 1]],
 [69836041, [1, 8, -20, 0, 16, -4, -3, 1]],
 [70244521, [-1, -6, 2, 13, -1, -7, 0, 1]],
 [75602713, [1, -1, -13, 9, 10, -6, -2, 1]],
 [75630121, [7, -7, -18, 16, 9, -8, -1, 1]],
 [77004029, [-2, -9, -2, 15, 4, -7, -1, 1]],
 [78373945, [-1, -4, 1, 13, 3, -7, -1, 1]],
 [78534833, [-1, -8, -4, 14, 5, -7, -1, 1]],
 [79044293, [1, -2, -7, 7, 8, -5, -2, 1]],
 [79397476, [2, 2, -12, -1, 13, -3, -3, 1]],
 [79438057, [-1, -3, 4, 10, -4, -8, 0, 1]],
 [80750473, [1, -3, -5, 9, 6, -7, -1, 1]],
 [81323773, [2, 1, -12, 1, 12, -3, -3, 1]],
 [81437164, [-1, -4, 2, 12, -1, -7, 0, 1]],
 [82916101, [1, -6, -7, 12, 8, -6, -2, 1]],
 [83266101, [-4, -10, 5, 18, -1, -8, 0, 1]],
 [83934569, [1, -13, -1, 19, 0, -8, 0, 1]],
 [84506041, [-1, -2, 10, 16, -3, -8, 0, 1]],
 [84824233, [1, -1, -12, 13, 8, -8, -1, 1]],
 [86278889, [-1, -7, -3, 13, 4, -7, -1, 1]],
 [88337321, [-1, -3, 4, 11, -2, -7, 0, 1]],
 [88383761, [1, 2, -9, -6, 17, -4, -3, 1]],
 [88537609, [-1, -6, -4, 12, 5, -7, -1, 1]],
 [89211436, [2, 0, -11, 1, 12, -3, -3, 1]],
 [89781929, [-1, -8, 5, 15, -3, -8, 0, 1]],
 [89916129, [1, -1, -10, 15, 6, -8, -1, 1]],
 [91138133, [1, -5, -10, 11, 9, -6, -2, 1]],
 [92507681, [-7, -26, -3, 27, 5, -9, -1, 1]],
 [93364693, [1, 3, -12, -1, 13, -3, -3, 1]],
 [93679973, [1, 1, -17, 2, 15, -4, -3, 1]],
 [95402689, [5, -4, -15, 9, 11, -6, -2, 1]],
 [96309817, [-1, -6, -1, 14, 4, -7, -1, 1]],
 [96703369, [1, -3, -4, 14, 0, -8, 0, 1]],
 [97212489, [-1, -7, -5, 14, 5, -7, -1, 1]],
 [97824733, [-1, 9, -22, 6, 15, -7, -2, 1]],
 [98167689, [-1, 9, -18, -1, 16, -4, -3, 1]],
 [98295577, [-1, -2, 8, 18, 2, -8, -1, 1]],
 [99230049, [1, -4, -2, 12, 3, -7, -1, 1]],
 [100069857, [-1, -5, 2, 17, 4, -8, -1, 1]],
 [100269173, [-1, -8, -9, 12, 9, -6, -2, 1]],
 [100660489, [1, 4, -22, 14, 10, -8, -1, 1]],
 [100907057, [-1, -6, -6, 10, 9, -6, -2, 1]],
 [101109161, [-1, -4, 2, 11, -1, -7, 0, 1]],
 [101206153, [1, -8, -8, 18, 6, -8, -1, 1]],
 [102872809, [1, -1, -7, 8, 7, -7, -1, 1]],
 [105058897, [3, -13, -1, 19, 0, -8, 0, 1]],
 [105391453, [1, -3, -4, 13, 3, -8, -1, 1]],
 [105486613, [1, -2, -6, 11, 5, -7, -1, 1]],
 [105537053, [-1, -10, -2, 17, 3, -8, -1, 1]],
 [105708673, [13, 8, -35, 0, 23, -6, -3, 1]],
 [107164437, [1, -5, -4, 13, 5, -7, -1, 1]],
 [107680489, [1, -6, 3, 17, -1, -8, 0, 1]],
 [107704601, [1, -1, -8, 4, 12, -6, -2, 1]],
 [108526193, [3, -2, -13, 10, 12, -9, -1, 1]],
 [109652617, [1, 1, -11, 1, 12, -3, -3, 1]],
